A,B,C,D,E,F,G,H,I,J,K,L,M,N
116_4,217_1,86.11986311,9.280078831,0.999152877,342.5285366,1.29139E-05,49.4397357,0.036435234,0.003063657,0.962309838,137,0.274,0
116_4,217_2,87.4607837,9.352047033,0.999141892,345.9286156,4.16085E-05,49.93049483,0.036719092,0.003672628,0.961817017,147,0.294,0
116_4,217_3,88.80754145,9.423775329,0.999123749,354.5905305,6.74475E-05,51.18073456,0.037001222,0.002190445,0.960572335,115,0.23,0
116_4,217_5,87.40230312,9.348919891,0.99914005,347.6496644,0.000144747,50.17890683,0.036706562,0.003481408,0.96149758,167,0.334,0
116_5,217_1,85.30270342,9.235946266,0.999162534,337.4968181,4.67309E-05,48.7134697,0.036261802,0.003156853,0.962878594,120,0.24,0
116_5,217_2,86.90299247,9.322177453,0.999146276,345.3840812,5.43056E-05,49.85189806,0.036601645,0.002196629,0.961728795,144,0.288,0
116_5,217_3,87.94374018,9.377832382,0.999131898,352.6818758,2.21519E-06,50.90524399,0.036820635,0.002159504,0.960625334,128,0.256,0
116_5,217_4,87.74909577,9.367448733,0.999135304,349.2861295,8.19164E-05,50.41511022,0.036780103,0.002430228,0.961323258,157,0.314,0
116_1,108_2,78.44673975,8.857016413,0.999224767,319.3989912,6.9292E-05,46.10127339,0.034769875,0.002666914,0.963943706,73,0.146,0
116_1,108_3,79.47884544,8.915090882,0.999215276,319.2492457,8.2652E-05,46.07965949,0.03499972,0.011163675,0.964263283,135,0.27,0
116_1,108_4,77.04575698,8.777571246,0.999239067,313.3992091,-3.05956E-05,45.23527944,0.034456559,0.001853407,0.964753643,110,0.22,0
116_1,108_5,79.18774651,8.898749716,0.999216673,320.9454242,5.40498E-05,46.32448176,0.034934224,0.002144385,0.963878837,98,0.196,0
